peer,KPI,sort,Product,Hierarchy 1,average,Value,Rank,last,group,Code
Americas-focused vendors,Business value,1,BOARD,,7.665933246,6.705939322,11,,1,
Americas-focused vendors,Business value,1,Carriots Analytics,,7.665933246,8.022516999,5,,1,
Americas-focused vendors,Business value,1,Cyberscience,,7.665933246,7.532130813,6,,1,
Americas-focused vendors,Business value,1,Dimensional Insight,,7.665933246,8.424089492,4,,1,
Americas-focused vendors,Business value,1,Domo,,7.665933246,8.610575836,3,,1,
Americas-focused vendors,Business value,1,Dundas,,7.665933246,7.340622396,8,,1,
Americas-focused vendors,Business value,1,Looker,,7.665933246,9.275246694,1,,1,
Americas-focused vendors,Business value,1,Phocas,,7.665933246,9.201422992,2,,1,
Americas-focused vendors,Business value,1,Pyramid Analytics,,7.665933246,7.521249915,7,,1,
Americas-focused vendors,Business value,1,sales-i,,7.665933246,5.076404302,12,,1,
Americas-focused vendors,Business value,1,Sisense,,7.665933246,7.278667327,9,,1,
Americas-focused vendors,Business value,1,Yellowfin,,7.665933246,7.00233286,10,,1,
Americas-focused vendors,Business benefits,2,BOARD,,7.513794366,6.783363168,9,,2,
Americas-focused vendors,Business benefits,2,Carriots Analytics,,7.513794366,7.444008357,5,,2,
Americas-focused vendors,Business benefits,2,Cyberscience,,7.513794366,6.201211104,11,,2,
Americas-focused vendors,Business benefits,2,Dimensional Insight,,7.513794366,9.086200422,3,,2,
Americas-focused vendors,Business benefits,2,Domo,,7.513794366,9.933089514,2,,2,
Americas-focused vendors,Business benefits,2,Dundas,,7.513794366,7.08759518,8,,2,
Americas-focused vendors,Business benefits,2,Looker,,7.513794366,10,1,,2,
Americas-focused vendors,Business benefits,2,Phocas,,7.513794366,8.554409737,4,,2,
Americas-focused vendors,Business benefits,2,Pyramid Analytics,,7.513794366,7.152579349,7,,2,
Americas-focused vendors,Business benefits,2,sales-i,,7.513794366,3.769579923,12,,2,
Americas-focused vendors,Business benefits,2,Sisense,,7.513794366,7.428512132,6,,2,
Americas-focused vendors,Business benefits,2,Yellowfin,,7.513794366,6.724983512,10,,2,
Americas-focused vendors,Project success,3,BOARD,,7.943094889,7.251333333,10,,2,
Americas-focused vendors,Project success,3,Carriots Analytics,,7.943094889,7.901538462,7,,2,
Americas-focused vendors,Project success,3,Cyberscience,,7.943094889,8.922482759,2,,2,
Americas-focused vendors,Project success,3,Dimensional Insight,,7.943094889,8.538105263,3,,2,
Americas-focused vendors,Project success,3,Domo,,7.943094889,8.082133333,6,,2,
Americas-focused vendors,Project success,3,Dundas,,7.943094889,7.7928,8,,2,
Americas-focused vendors,Project success,3,Looker,,7.943094889,8.453647059,5,,2,
Americas-focused vendors,Project success,3,Phocas,,7.943094889,10,1,,2,
Americas-focused vendors,Project success,3,Pyramid Analytics,,7.943094889,8.512,4,,2,
Americas-focused vendors,Project success,3,sales-i,,7.943094889,5.20275,12,,2,
Americas-focused vendors,Project success,3,Sisense,,7.943094889,7.200210526,11,,2,
Americas-focused vendors,Project success,3,Yellowfin,,7.943094889,7.460137931,9,,2,
Americas-focused vendors,Project length,4,BOARD,,7.568026597,5.382879762,12,,2,
Americas-focused vendors,Project length,4,Carriots Analytics,,7.568026597,10,1,,2,
Americas-focused vendors,Project length,4,Cyberscience,,7.568026597,8.744186047,4,,2,
Americas-focused vendors,Project length,4,Dimensional Insight,,7.568026597,6.209725159,10,,2,
Americas-focused vendors,Project length,4,Domo,,7.568026597,5.699919808,11,,2,
Americas-focused vendors,Project length,4,Dundas,,7.568026597,7.195348837,6,,2,
Americas-focused vendors,Project length,4,Looker,,7.568026597,8.744186047,4,,2,
Americas-focused vendors,Project length,4,Phocas,,7.568026597,9.545308741,2,,2,
Americas-focused vendors,Project length,4,Pyramid Analytics,,7.568026597,6.64576144,9,,2,
Americas-focused vendors,Project length,4,sales-i,,7.568026597,8.744186047,3,,2,
Americas-focused vendors,Project length,4,Sisense,,7.568026597,6.986046512,7,,2,
Americas-focused vendors,Project length,4,Yellowfin,,7.568026597,6.918770764,8,,2,
Americas-focused vendors,Customer satisfaction,5,BOARD,,8.05820438,7.662289846,8,,1,
Americas-focused vendors,Customer satisfaction,5,Carriots Analytics,,8.05820438,8.388822258,5,,1,
Americas-focused vendors,Customer satisfaction,5,Cyberscience,,8.05820438,8.255546292,6,,1,
Americas-focused vendors,Customer satisfaction,5,Dimensional Insight,,8.05820438,9.467737379,2,,1,
Americas-focused vendors,Customer satisfaction,5,Domo,,8.05820438,7.630338322,9,,1,
Americas-focused vendors,Customer satisfaction,5,Dundas,,8.05820438,8.392329063,4,,1,
Americas-focused vendors,Customer satisfaction,5,Looker,,8.05820438,7.766280038,7,,1,
Americas-focused vendors,Customer satisfaction,5,Phocas,,8.05820438,9.61328296,1,,1,
Americas-focused vendors,Customer satisfaction,5,Pyramid Analytics,,8.05820438,8.523476004,3,,1,
Americas-focused vendors,Customer satisfaction,5,sales-i,,8.05820438,7.503211428,10,,1,
Americas-focused vendors,Customer satisfaction,5,Sisense,,8.05820438,5.994009618,12,,1,
Americas-focused vendors,Customer satisfaction,5,Yellowfin,,8.05820438,7.501129356,11,,1,
Americas-focused vendors,Price-to-value,6,BOARD,,9.105407402,7.62665066,12,,2,
Americas-focused vendors,Price-to-value,6,Carriots Analytics,,9.105407402,9.235294118,7,,2,
Americas-focused vendors,Price-to-value,6,Cyberscience,,9.105407402,9.541176471,3,,2,
Americas-focused vendors,Price-to-value,6,Dimensional Insight,,9.105407402,9.382352941,6,,2,
Americas-focused vendors,Price-to-value,6,Domo,,9.105407402,8.764705882,10,,2,
Americas-focused vendors,Price-to-value,6,Dundas,,9.105407402,9.235294118,7,,2,
Americas-focused vendors,Price-to-value,6,Looker,,9.105407402,9.823529412,2,,2,
Americas-focused vendors,Price-to-value,6,Phocas,,9.105407402,10,1,,2,
Americas-focused vendors,Price-to-value,6,Pyramid Analytics,,9.105407402,9.425047438,4,,2,
Americas-focused vendors,Price-to-value,6,sales-i,,9.105407402,7.666666667,11,,2,
Americas-focused vendors,Price-to-value,6,Sisense,,9.105407402,9.181818182,9,,2,
Americas-focused vendors,Price-to-value,6,Yellowfin,,9.105407402,9.382352941,5,,2,
Americas-focused vendors,Recommendation,7,BOARD,,8.144986381,7.083102493,11,,2,
Americas-focused vendors,Recommendation,7,Carriots Analytics,,8.144986381,7.970112261,6,,2,
Americas-focused vendors,Recommendation,7,Cyberscience,,8.144986381,7.860941828,7,,2,
Americas-focused vendors,Recommendation,7,Dimensional Insight,,8.144986381,9.851089316,3,,2,
Americas-focused vendors,Recommendation,7,Domo,,8.144986381,9.968635511,2,,2,
Americas-focused vendors,Recommendation,7,Dundas,,8.144986381,8.468908205,4,,2,
Americas-focused vendors,Recommendation,7,Looker,,8.144986381,8.009101702,5,,2,
Americas-focused vendors,Recommendation,7,Phocas,,8.144986381,10,1,,2,
Americas-focused vendors,Recommendation,7,Pyramid Analytics,,8.144986381,7.860941828,7,,2,
Americas-focused vendors,Recommendation,7,sales-i,,8.144986381,7.311878768,9,,2,
Americas-focused vendors,Recommendation,7,Sisense,,8.144986381,6.185595568,12,,2,
Americas-focused vendors,Recommendation,7,Yellowfin,,8.144986381,7.169529086,10,,2,
Americas-focused vendors,Vendor support,8,BOARD,,8.705071686,7.923846134,11,,2,
Americas-focused vendors,Vendor support,8,Carriots Analytics,,8.705071686,8.416804365,8,,2,
Americas-focused vendors,Vendor support,8,Cyberscience,,8.705071686,9.079262519,5,,2,
Americas-focused vendors,Vendor support,8,Dimensional Insight,,8.705071686,9.690501848,1,,2,
Americas-focused vendors,Vendor support,8,Domo,,8.705071686,9.132298026,2,,2,
Americas-focused vendors,Vendor support,8,Dundas,,8.705071686,8.965615006,7,,2,
Americas-focused vendors,Vendor support,8,Looker,,8.705071686,9.119373406,4,,2,
Americas-focused vendors,Vendor support,8,Phocas,,8.705071686,9.125431822,3,,2,
Americas-focused vendors,Vendor support,8,Pyramid Analytics,,8.705071686,8.969281055,6,,2,
Americas-focused vendors,Vendor support,8,sales-i,,8.705071686,7.693496067,12,,2,
Americas-focused vendors,Vendor support,8,Sisense,,8.705071686,7.981666799,10,,2,
Americas-focused vendors,Vendor support,8,Yellowfin,,8.705071686,8.363283186,9,,2,
Americas-focused vendors,Implementer support,9,BOARD,,7.303635751,7.232533806,7,,2,
Americas-focused vendors,Implementer support,9,Carriots Analytics,,7.303635751,7.822580235,5,,2,
Americas-focused vendors,Implementer support,9,Cyberscience,,7.303635751,6.921120412,8,,2,
Americas-focused vendors,Implementer support,9,Dimensional Insight,,7.303635751,8.805990951,2,,2,
Americas-focused vendors,Implementer support,9,Domo,,7.303635751,5.675466838,11,,2,
Americas-focused vendors,Implementer support,9,Dundas,,7.303635751,8.260198004,4,,2,
Americas-focused vendors,Implementer support,9,Looker,,7.303635751,7.751556128,6,,2,
Americas-focused vendors,Implementer support,9,Phocas,,7.303635751,9.372245186,1,,2,
Americas-focused vendors,Implementer support,9,Pyramid Analytics,,7.303635751,8.353622022,3,,2,
Americas-focused vendors,Implementer support,9,sales-i,,7.303635751,6.298293625,10,,2,
Americas-focused vendors,Implementer support,9,Sisense,,7.303635751,4.851728185,12,,2,
Americas-focused vendors,Implementer support,9,Yellowfin,,7.303635751,6.298293625,9,,2,
Americas-focused vendors,Product satisfaction,10,BOARD,,7.365813995,8.949787836,5,,2,
Americas-focused vendors,Product satisfaction,10,Carriots Analytics,,7.365813995,8.991796322,4,,2,
Americas-focused vendors,Product satisfaction,10,Cyberscience,,7.365813995,8.739745403,6,,2,
Americas-focused vendors,Product satisfaction,10,Dimensional Insight,,7.365813995,9.747949081,1,,2,
Americas-focused vendors,Product satisfaction,10,Domo,,7.365813995,4.418872499,10,,2,
Americas-focused vendors,Product satisfaction,10,Dundas,,7.365813995,7.059405941,8,,2,
Americas-focused vendors,Product satisfaction,10,Looker,,7.365813995,4.013790665,11,,2,
Americas-focused vendors,Product satisfaction,10,Phocas,,7.365813995,9.495898161,2,,2,
Americas-focused vendors,Product satisfaction,10,Pyramid Analytics,,7.365813995,8.424681754,7,,2,
Americas-focused vendors,Product satisfaction,10,sales-i,,7.365813995,9.243847242,3,,2,
Americas-focused vendors,Product satisfaction,10,Sisense,,7.365813995,2.244587096,12,,2,
Americas-focused vendors,Product satisfaction,10,Yellowfin,,7.365813995,7.059405941,8,,2,
Americas-focused vendors,Customer experience,11,BOARD,,6.502685246,7.188861071,5,,1,
Americas-focused vendors,Customer experience,11,Carriots Analytics,,6.502685246,6.765895594,7,,1,
Americas-focused vendors,Customer experience,11,Cyberscience,,6.502685246,5.431752364,10,,1,
Americas-focused vendors,Customer experience,11,Dimensional Insight,,6.502685246,7.395850349,4,,1,
Americas-focused vendors,Customer experience,11,Domo,,6.502685246,7.414019947,3,,1,
Americas-focused vendors,Customer experience,11,Dundas,,6.502685246,5.350191732,11,,1,
Americas-focused vendors,Customer experience,11,Looker,,6.502685246,7.071608234,6,,1,
Americas-focused vendors,Customer experience,11,Phocas,,6.502685246,7.695380068,2,,1,
Americas-focused vendors,Customer experience,11,Pyramid Analytics,,6.502685246,7.972101893,1,,1,
Americas-focused vendors,Customer experience,11,sales-i,,6.502685246,5.479521427,9,,1,
Americas-focused vendors,Customer experience,11,Sisense,,6.502685246,4.574251202,12,,1,
Americas-focused vendors,Customer experience,11,Yellowfin,,6.502685246,5.692789065,8,,1,
Americas-focused vendors,Self-service,12,BOARD,,6.336764591,7.654255319,5,,2,
Americas-focused vendors,Self-service,12,Carriots Analytics,,6.336764591,6.602941176,6,,2,
Americas-focused vendors,Self-service,12,Cyberscience,,6.336764591,5.5,8,,2,
Americas-focused vendors,Self-service,12,Dimensional Insight,,6.336764591,5.65,7,,2,
Americas-focused vendors,Self-service,12,Domo,,6.336764591,8.03125,4,,2,
Americas-focused vendors,Self-service,12,Dundas,,6.336764591,1,12,,2,
