Peer,vendor,KPI,value
All products,Bissantz,Business benefits,8.233879324
All products,Bissantz,Project success,9.049915493
All products,Bissantz,Project length,4.62228057
All products,Bissantz,Business value,7.903958255
All products,Bissantz,Price-to-value,7.426690079
All products,Bissantz,Recommendation,7.466544419
All products,Bissantz,Vendor support,9.257851469
All products,Bissantz,Implementer support,9.016083241
All products,Bissantz,Product satisfaction,7.605516266
All products,Bissantz,Customer satisfaction,8.168999884
All products,Bissantz,Self-service,7.641304348
All products,Bissantz,Flexibility,4.790635756
All products,Bissantz,Ease of use,5.041712774
All products,Bissantz,Sales experience,8.690281516
All products,Bissantz,Data volume,2.884908195
All products,Bissantz,Query performance,5.726503048
All products,Bissantz,Performance satisfaction,6.860238353
All products,Bissantz,Customer experience,6.009137027
All products,Bissantz,Cloud BI,3.492307692
All products,Bissantz,Mobile BI,4.40082067
All products,Bissantz,Visual design standards,10
All products,Bissantz,Location intelligence,8.714285714
All products,Bissantz,Visual analysis,6.658049354
All products,Bissantz,Innovation,6.653092686
All products,Bissantz,Considered for purchase,2.759218125
All products,Bissantz,Competitive win rate,4.763015966
All products,Bissantz,Competitiveness,3.96149683
All products,BOARD,Business benefits,6.783363168
All products,BOARD,Project success,7.251333333
All products,BOARD,Project length,5.382879762
All products,BOARD,Business value,6.705939322
All products,BOARD,Price-to-value,7.62665066
All products,BOARD,Recommendation,7.083102493
All products,BOARD,Vendor support,7.923846134
All products,BOARD,Implementer support,7.232533806
All products,BOARD,Product satisfaction,8.949787836
All products,BOARD,Customer satisfaction,7.662289846
All products,BOARD,Self-service,7.654255319
All products,BOARD,Flexibility,9.809668585
All products,BOARD,Ease of use,7.632313804
All products,BOARD,Sales experience,7.292654489
All products,BOARD,Data volume,1.028213166
All products,BOARD,Query performance,5.583001548
All products,BOARD,Performance satisfaction,6.750392465
All products,BOARD,Customer experience,7.188861071
All products,BOARD,Cloud BI,2.227272727
All products,BOARD,Mobile BI,3.26778942
All products,BOARD,Visual design standards,6.627906977
All products,BOARD,Location intelligence,4.043478261
All products,BOARD,Visual analysis,4.803910293
All products,BOARD,Innovation,4.194071536
All products,BOARD,Considered for purchase,3.350955131
All products,BOARD,Competitive win rate,1
All products,BOARD,Competitiveness,1.940382052
All products,CALUMO,Business benefits,6.10740112
All products,CALUMO,Project success,7.834920635
All products,CALUMO,Project length,7.888249694
All products,CALUMO,Business value,6.980049054
All products,CALUMO,Price-to-value,9.895558223
All products,CALUMO,Recommendation,7.200956938
All products,CALUMO,Vendor support,7.806782985
All products,CALUMO,Implementer support,6.781521305
All products,CALUMO,Product satisfaction,6.10466761
All products,CALUMO,Customer satisfaction,7.463454364
All products,CALUMO,Self-service,8.95
All products,CALUMO,Flexibility,4.5872101
All products,CALUMO,Ease of use,3.129170144
All products,CALUMO,Sales experience,9.927779429
All products,CALUMO,Data volume,2.265830721
All products,CALUMO,Query performance,3.726480824
All products,CALUMO,Performance satisfaction,4.120710059
All products,CALUMO,Customer experience,5.339854465
All products,CALUMO,Cloud BI,8.74
All products,CALUMO,Mobile BI,6.796484482
